Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Dry matter (%),Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary color of the flower,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Berry color,Berry shape,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Provinciana,1,Direct/Origin,Solanum tuberosum (Group: Andigenum),Scarse,Compressed,Medium,Pale brown,Pale purple,Splattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,5 pairs,2 pairs,20.45 30.74,0.98 - 2.10,51 - 78,Intermediate,3400 - 4100,Intermediate,Susceptible,Purple,Fully pigmented,Moderate,Rotated,Intense purple,White,Few blemishes or spots,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with pigmented areas,Globose,"It is an old variety and very susceptible to blight. The community members say that sometimes “It becomes pagro” (hollow in the center of the tuber). They also mention that when it is attacked by the rancha, the pulp becomes “gauchosa” (watery). They also say that “ it’s not very interested in fertilizers since it produces very well in shiguas (fields that have been previously cultivated).” When parboiled, the skin does not break, its texture is floury and it has a tasty flavor.",,"Parboiled, peeled",Slow
Gompe,1,Direct/Texture,Solanum tuberosum (Group: Andigenum),Common,Compressed,Medium,Medium yellow,Intense purple,Scattered spots,Cream,Absent,Absent,Semi-erect,Green with many spots,Straight,4 pairs,2 pairs,23.69 29.81,1.10 - 1.62,16 - 97,Intermediate,3500 - 4100,Susceptible,Susceptible,Purple,Fully pigmented,Moderate,Rotated,Intense purple,White,Few blemishes or spots,No anthocyanins,No anthocyanins,White,Purple,Many stains throughout,Green,Globose,"It is an old variety; its name is due to the texture of its pulp that sticks to the teeth like rubber when boiled. When boiling it, its skin breaks and comes off the pulp, its texture is floury and its flavor is very tasty. This potato is sought after during the harvest to be cooked that same day due to its good flavor.",,"Parboiled, chuno, dry potato, soup",Intermediate
Gompe Colorada,2,Direct/Texture and Color,Solanum tuberosum (Group: Andigenum),Common,Compressed,Deep,"Red, medium purple",Medium yellow,Splattered spots,White,Absent,Absent,Decumbent,Green with few spots,Jagged,4 pairs,1 pair,23.92 30.31,1.17 - 2.00,40 - 41,Late,3500 - 4100,Susceptible,Resistant,Green with few spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,White,Acumen - back,Pigmented spot on apex,No anthocyanins,Red,Pink,At apex,Green,Globose,"Its name is due to the similarity it has with the Gompe variety, and Colorada due to its reddish color. It is also known as carnival, since when it is sown in September it is harvested in February, the month in which carnivals (traditional community festival) are celebrated. This variety was brought many years ago from the Huanchay district, Ancash region. When parboiled, the skin breaks, the texture of its pulp is mealy on the outside and more watery in the middle, its flavor is tasty.",Festivities,Parboiled,Fast
Goyrunsha,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Common,Compressed,Medium,Pale purple,Absent,Absent,White,Absent,Absent,Decumbent,Green with few spots,Jagged,4 pairs,1 pair,25.62 29.39,1.18 - 1.81,35 - 59,Intermediate,3500 - 4100,Resistant,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Intense purple,White,Few blemishes or spots,No anthocyanins,No anthocyanins,Purple,Absent,Absent,Green,Globose,"Its name comes from the shape and color of the tuber, which is very similar to the fruit of the plant known in the area as goyrunsha. The skin does not break quickly when boiling, has a floury texture, and its flavor is tasty.",,"Parboiled, chuno, dry potato, soup",Slow
Habilla,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Common,compressed,Medium,Pale red,Intense purple,Splattered spots,Cream,Absent,Absent,Semi-erect,Pigmented with little green,Straight,4 pairs,2 pairs,28.36 31.24,0.98 - 1.84,38 - 119,Intermediate,3400 - 3800,Resistant,Resistant,Pigmented with little green,Fully pigmented,Moderate,Pentagonal,Intense purple,White,Acumen - both,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with pigmented areas,Globose,"Its name comes from the flattened shape of the tuber, similar to the seed of the plant locally known as bean. Produces quite a few small tubers, 4-5 cm on average. Its taste depends on the color of the soil. The community members mention that “It’s richer in reddish or scarlet soils than when cultivated in black soils”. When parboiled, its skin doesn’t break quickly, its texture is floury, and its flavor is tasty.",,"Parboiled, soup, chuno",Slow
Huascaya,0,No information,Solanum tuberosum (Group: Goniocalyx),Common,Obovate,Medium,"Red, intense purple",Intense blackish,Splattered spots,Cream,Absent,Absent,Semi-erect,Green with many spots,Jagged,3 pairs,1 pair,32.77 33.33,1.05 - 1.81,52,Fast,3500 - 4100,Susceptible,Resistant,Pigmented with abundant green,Fully pigmented,Moderate,Very rotated,Intense purple,White,Acumen - back,Pigmented bands,Pigmented stigma,Purple,Absent,Absent,Green with pigmented areas,Ovoid,"It is a very old variety. When parboiled, the skin breaks quickly and comes off the pulp, its texture is very mealy and its flavor is very tasty. Inside the tuber they produce a “thready texture “ so it is not good for preparing chuno.",,"Parboiled, soup",Fast
Huascaya Roja,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Scarse,obovate,Deep,"Red, intense purple","Red, medium purple",Splattered spots,White,Violet,Scattered areas,Semi-erect,Pigmented with abundant green,Curly,3 pairs,1 pair,31.77 33.50,0.71 - 0.89,12 - 17,Intermediate,3400 - 4100,Intermediate,Intermediate,Pigmented with little green,Fully pigmented,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Violet,Absent,Absent,Predominantly pigmented,Globose,"It’s an old variety. Some farmers point out that it acquires a sour flavor (acid) when prepared in chuno, but others indicate that it tastes good in chuno. They also point out that it’s not good for preparing dry potatoes since it dyes the soup red, due to the color of its pulp. When parboiled, the skin breaks quickly, its texture is very mealy and its flavor is tasty.",,"Parboiled, chuno (only some producers)",Fast
Huayra Amarilla,0,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Chaucha),Abundant,Oblong,Medium,Medium yellow,"Red, medium purple",Splattered spots,Yellow,Absent,Absent,Straight,Green with many spots,Jagged,4 pairs,2 pairs,26.81 27.73,0.49 - 1.21,16 - 19,Intermediate,3650 - 4100,Intermediate,Susceptible,Green with abundant spots,Fully pigmented,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,Pigmented (ovary and inner wall ovary),Pink,White,Few spots throughout,Green with pigmented areas,Globose,"This variety was introduced many years ago. Some producers brought it from Huánuco, others bought it in Tayabamba. It is currently in the group of the most commercial varieties in the area. When parboiled, the skin breaks, its texture is mealy and its flavor is very tasty.",Commercial,"Parboiled, peeled, chuno, soup",Fast
Huayra Colorada,0,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Chaucha),Abundant,Oblong,Medium,"Red, intense purple",Absent,Absent,Cream,Absent,Absent,Straight,Green with many spots,Jagged,5 pairs,2 pairs,26.77 27.32,1.03 - 1.61,30 - 46,Intermediate,3800 - 4100,Intermediate,Susceptible,Green with abundant spots,Fully pigmented,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,Pigmented,Red,Absent,Absent,Green with pigmented areas,Globose,"It is a variety introduced many years ago and one of the most cultivated in the area due to its tasty flavor and high yields (up to 40 t/ha), it is widely accepted in local and neighboring markets (Tayabamba, Ongón, Tocache). This variety produces well in soils with a high percentage of organic matter (dark soils). When parboiled, the skin breaks and detaches from the pulp, its texture is floury, its starch a bit chewy and its flavor is very tasty.",,"Chuno, peeled, soup, parboiled
(accompanies chicken broth in Tayabamba)",Fast
Hueva,2,Indirect/Food,Solanum tuberosum (Group: Goniocalyx),Scarse,Compressed,Superficial,Intense yellow,Absent,Absent,Intense yellow,Absent,Absent,Straight,Green,Straight,4 pairs,2 pairs,25.81 29.18,0.38 - 1.28,14 - 22,Intermediate,3600 - 4100,Susceptible,Intermediate,Green with few spots,Green,Scarse,Rotated,Pale white,Absent,Absent,No anthocyanins,No anthocyanins,Violet,White,At apex,Green with few white dots,Ovoid,"Its name is due to the yellow color of its pulp, similar to the color of the egg (huevo) yolk, but because it is a long name, most know it only as Hueva. Its yield is relatively low and its tubers are small and, furthermore, they rot quickly in humid soils. When parboiled, the skin does not break even though the pulp is already cooked, its texture is moderately mealy and its flavor tasty.",,"Parboiled, chuno, dry potato",Intermediate
Ismogra Colorada,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Common,Oblong,Deep,"Red, medium purple",Absent,Absent,Cream,Absent,Absent,Semi-erect,Green,Curly,4 pairs,2 pairs,31.25 32.04,0.81 - 2.12,34 - 38,Intermediate,3500 - 4100,Intermediate,Resistant,Green with few spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,No anthocyanins,Pink,Absent,Absent,Green with pigmented areas,Ovoid,"This variety is cultivated for family consumption in small quantities mixed with other varieties. It is not very commercial since its tubers are small. When parboiled, its skin breaks and comes off the pulp, its texture is mealy and its flavor is very tasty. If it is left to cook for a long time it disintegrates. The ladies say: “These potatoes must be placed on top of the other varieties, since if they are placed at the bottom of the pot they become soup and they cannot be consumed.”",Family consumption,"Parboiled, soup, chuno",Fast
Jovera Colorada,0,Direct/Tuber Color,Solanum tuberosum (Group: Chaucha),Common,Oval,Medium,"Red, intense purple",Absent,Absent,Light yellow,Red,Scattered areas,Straight,Pigmented with little green,Straight,4 pairs,2 pairs,22.98 25.62,1.13 - 2.00,14 - 27,Fast,3600 - 4100,Resistant,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,White,Acumen - back,Pigmented bands,Pigmented (stigma and ovary),Red,Absent,Absent,Green with pigmented areas,Globose,"This variety is generally cultivated for family consumption. The community members say: “This is a gauchosa (watery) potato”. Due to this characteristic and its red pulp, it’s not preferred for the preparation of chuno. When parboiled, its skin does not break quickly, remaining attached to the pulp, its texture is hard but its flavor is tasty.",Family consumption,Parboiled,Intermediate
Jovera Negra,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,Pale yellow,Intense blackish,Scattered spots,White,Purple,Vascular ring and medulla,Semi-erect,Green with many spots,Straight,3 pairs,1 pair,22.74 23.60,0.91 - 1.90,16 - 21,Intermediate,3600 - 4100,Susceptible,Intermediate,Green with abundant spots,Pigmented over joint,Moderate,Rotated,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,In buds,Green with pigmented areas,Globose,"It is cultivated in small quantities mixed with other varieties for family consumption, it’s characterized by its watery pulp texture. When parboiled, its skin does not break and it takes time to cook, so it is placed at the bottom of the pot to be parboiled",Family consumption,"Parboiled, peeled",Slow
Limena,1,Direct/Origin,Solanum tuberosum (Group: Chaucha),Common,Obovate,Superficial,Medium yellow,"Red, intense purple",Splattered spots,Light yellow,Red,Scattered areas,Straight,Green with many spots,Jagged,5 pairs,2 pairs,26.23 26.69,1.40 - 1.90,24 - 26,Fast,3600 - 4100,Resistant,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,Pigmented,Red,Absent,Absent,Green with pigmented areas,Ovoid,"The name of this variety is due to the fact that it was brought from the Lima region. It is characterized by the large size of its tubers (up to 30 cm in length). The community members mention: “this potato energizes very well and its tubers grow big in purun soils (new soils)”. It has become a commercial variety due to its taste. When parboiled, the skin breaks quickly separating from the pulp, its texture is floury, if it is left to cook for a long time it falls apart, its flavor is very tasty.",Commercial,"Parboiled, soup, chuno, dry potato",Fast
Llatina,4,Direct/Origin,Solanum tuberosum (Group: Andigenum),Common,Compressed,Deep,Pale yellow,"Red, intense purple",Splattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Curly,3 pairs,1 pair,22.29 30.48,1.32 - 2.15,31 - 48,Intermediate,3500 - 3900,Resistant,Intermediate,Pigmented with little green,Fully pigmented,Moderate,Pentagonal,Intense purple,White,Acumen - back,No anthocyanins,No anthocyanins,White,Purple,Many stains throughout,Green,Globose,"This variety was brought from Llata district, Huánuco region, which is why it is known as Llatina. It is cultivated in mixture for family consumption. It retains its characteristics in storage and does not spoil quickly. The community members say: “it is good for storage, from this potato we make a very tasty chuno that sticks to the teeth.” When parboiled, its skin does not break, remaining attached to the pulp, its texture is mealy and its flavor tasty.",Family consumption,"Parboiled, chuno, dry potato, stews, soup",Intermediate
Llamllina Blanca,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Abundant,Elongated,Medium,Pale brown,Intense blackish,Scattered spots,White,Absent,Absent,Semi-erect,Green with many spots,Straight,4 pairs,1 pair,24.30 28.31,1.32 - 1.85,26 - 44,Intermediate,3400 - 4100,Susceptible,Resistant,Green with few spots,Pigmented below joint,Moderate,Rotated,Intense lilac,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,At apex,Green,Globose,"This variety belongs to the group of potatoes known as lllamlinas, very similar in the shape of their tubers, but with different colors. On harvest day, these varieties are sought after mainly by children and roasted on the stove to consume them until lunch is prepared. The community members say: “these potatoes are roasted in the morning to be taken as cold cuts when grazing in the highlands.” When parboiled, its skin does not break, its texture is neither floury nor watery, and its flavor is tasty.",,"Parboiled, roast, chuno, dry potato",Intermediate
Llamllina Colorada,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Elongated,Medium,Medium yellow,"Red, medium purple",Scattered spots,White,Red,Few spots,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,25.22 31.01,0.66 - 1.92,20 - 98,Fast,3400 - 4100,Resistant,Intermediate,Pigmented with little green,Green,Moderate,Rotated,Medium purple,White,Acumen - both,No anthocyanins,No anthocyanins,Pink,White,In buds,Green,Conical,"Variety that belongs to the group of lllamllinas, known as Llamllina Colorada due to the reddish spots on the tubers. When parboiled, its skin breaks quickly and separates from the pulp, its texture is mealy and its flavor is very tasty.",,"Parboiled, roast, dry potato",Fast
Llamllina Jovera,1,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Abundant,Elongated,Medium,Pale brown,Intense blackish,Scattered spots,White,Absent,Absent,Semi-erect,Pigmented with abundant green,Straight,4 pairs,2 pairs,24.36 31.37,0.58 - 2.07,14 - 59,Intermediate,3400 - 4100,Susceptible,Resistant,Green with few spots,Pigmented below joint,Moderate,Pentagonal,Intense lilac,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,At apex,Green,Globose,"Another variety that belongs to the group of llamllinas , brought from the Huánuco region, according to what they say. It is known as Llamllina Jovera for the color of its tuber. The term jovero means white with dark spots. In some tubers the black color predominates, which is why it is also known as Llamllina Negra. Its skin does not break quickly when boiling it, the texture of its pulp is floury and its flavor tasty.",,"Parboiled, roast, chuno, dry potato, soup",Intermediate
Magrush Colorada,0,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,"Red, intense purple",Medium purple,Splattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Straight,3 pairs,Absent,23.20 28.47,0.97 - 1.40,17 - 24,Intermediate,3500 - 4100,Intermediate,Susceptible,Reddish,Pigmented joint only,Scarse,Rotated,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,White,Purple,At base,Green with pigmented areas,Globose,"It is a very old variety. It is characterized by producing few tubers, but large. The community members say: “when it is grown in red soils it is more pink” (term referring to the rupture of the skin of the tuber when parboiled). It is the preferred variety to prepare “cuy con papa”, its texture is floury and its flavor is very tasty. If it cooks for more than 20 minutes it disintegrates in the pot.",,"Parboiled, peeled, dry potato, chuno",Fast
Magrush Negra,2,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Scarse,Flattened oblong,Medium,Intense blackish,"Red, intense purple",Scattered spots,White,Violet,Scattered areas,Straight,Reddish,Curly,4 pairs,Absent,19.60 23.56,0.94 - 1.90,33 - 49,Intermediate,3650 - 4100,Intermediate,Susceptible,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium purple,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green with few white dots,Ovoid,"Rare variety grown in very small quantities for family consumption. The meaning of his name is unknown. It is generally consumed parboiled since, according to the ladies, it dyes the soup. When boiled, its skin breaks and its texture is watery.",,Parboiled,Slow
Malva,0,Indirect/Plant,Solanum tuberosum (Group: Andigenum),Abundant,Round,Medium,Medium purple,"Red, pale cream",Splattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,25.05 30.78,0.84 - 2.08,65 - 86,Intermediate,3500 - 4100,Susceptible,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Very rotated,Intense lilac,Absent,Absent,No anthocyanins,No anthocyanins,Purple,Absent,Absent,Green with pigmented areas,Globose,"Its name comes from the color of the tuber, similar to the color of the mallow flower. (Malva sylvestris). The ladies mention: “when you cook skinned or peeled you should not cook it for a long time since it disintegrates or becomes broth”. When parboiled, the skin breaks “it becomes pink and looks like a mallow flower”, say the community members. Its texture is floury and its flavor is very tasty.",,"Parboiled, chuno, peeled",Fast
Poronga Colorada,0,Indirect/Object and Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Concertina obovate,Medium,Medium yellow,"Red, intense purple",Scattered spots,Cream,Absent,Absent,Decumbent,Green,Curly,3 pairs,1 pair,30.94 32.83,1.00 - 1.72,19 - 33,Fast,3500 - 4100,Resistant,Intermediate,Reddish,Pigmented over joint,Moderate,Pentagonal,Medium lilac,Absent,Absent,No anthocyanins,No anthocyanins,Violet,White,In buds,Green,Globose,"It is a variety belonging to the group of porongas, which alludes to the shape of the tuber. The porongo is a pear-shaped clay container used to store water. Red, due to the reddish color of the spots on its tuber. It is an old variety that is very common among families. When parboiled, the skin breaks and detaches from the pulp, its texture is mealy and its flavor tasty. If cooked for a long time it disintegrates. It is consumed with tea or coffee instead of bread.",,"Parboiled, chuno, dry potato",Intermediate
Mollil,1,No information,Solanum tuberosum (Group: Andigenum),Common,Oblong,Superficial,Brown,Absent,Absent,Cream,Absent,Absent,Semi-erect,Pigmented with abundant green,Jagged,4 pairs,2 pairs,23.94 30.50,0.57 - 1.59,10 - 27,Intermediate,3500 - 4000,Resistant,Intermediate,Green,Green,Moderate,Rotated,Pale white,Absent,Absent,Pigmented spot on apex,No anthocyanins,Violet,White,At apex,Green,Globose,"This variety is often confused with the Huevo de Indio variety, as it is very similar in plant, flower and tuber. It produces well in farms that have previously grown barley or oats and is resistant to the bollworm (Premnotrypes sp.). When parboiled, the skin breaks, its texture is mealy and its flavor is very tasty.",,"Parboiled, chuno, peeled",Fast
Pachajcha Amarilla,0,Indirect/Plant and Color,Solanum tuberosum (Group: Goniocalyx),Abundant,Elliptical,Deep,Medium yellow,Pale purple,In eyebrows,Light yellow,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,1 pair,35.69 38.25,0.56 - 0.63,32 - 52,Fast,3600 - 3900,Susceptible,Intermediate,Purple,Fully pigmented,Moderate,Very rotated,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,White,Purple,Few spots throughout,Green,Globose,"It is an old variety and almost all the annexes of the community that produce native potatoes grow it. Some residents mention that the name comes from the resemblance of the tuber with the flower of a wild herb from the area called Pachajcha . This variety does not have a good production and its tubers are small. When parboiled, its skin breaks quickly, the texture is very mealy and its flavor is tasty.",,"Parboiled, chuno, dry potato",Fast
Pachajcha Morada,0,Indirect/Plant and Color,Solanum tuberosum (Group: Goniocalyx),Common,Oblong,Deep,Intense purple,Absent,Absent,White,Absent,Absent,Straight,Green with many spots,Jagged,4 pairs,2 pairs,33.63 35.46,0.92 - 1.60,38 - 54,Intermediate,3600 - 3900,Susceptible,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Rotated,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,Violet,Absent,Absent,Green with pigmented bands,Conical,"This is another variety belonging to the group of pachajchas . The name Morada (purple) is due to the color of its tuber. It is an old variety, very susceptible to attack by the andean worm or weevil (Premnotrypes sp.). It generally produces small tubers (5 to 8 cm in length). When parboiled, its skin breaks quickly, the texture is floury and its flavor is very tasty. If it is cooked for too long it disintegrates.",,"Parboiled, chuno, dry potato",Fast
Pachajcha Negra,0,Indirect/Plant and Color,Solanum tuberosum (Group: Andigenum),Abundant,Oblong,Medium,Intense blackish,Absent,Absent,Light yellow,Absent,Absent,Decumbent,Green with many spots,Jagged,3 pairs,1 pair,32.54 34.57,0.36 - 1.65,9 - 29,Intermediate,3600 - 4000,Intermediate,Resistant,Pigmented with little grren,Pigmented over joint,Moderate,Rotated,Pale violet,White,Few blemishes or spots,No anthocyanins,Pigmentation on inner wall ovary,Purple,Absent,Absent,Green,Ovoid,"Another variety belonging to the group of pachajchas. Its name Pachajcha Negra is due to the dark color of the skin of the tuber. It’s an old variety that is cultivated for family consumption and very little for commercialization. Its tubers are small (5 to 8 cm in length). It’s usually consumed accompanied with coffee. When parboiled, its skin breaks quickly, the texture is very mealy and its flavor is tasty.",,"Parboiled, chuno, dry potato",Fast
Pana Colorada,0,Indirect/Food and Color,Solanum tuberosum (Group: Andigenum),Common,Flattened round,Superficial,"White, pale cream",Intense red,Splattered spots,Cream,Absent,Absent,Semi-erect,Green with few spots,Jagged,3 pairs,2 pairs,23.67 27.74,0.98 - 2.05,31 - 78,Intermediate,3600 - 3800,Susceptible,Intermediate,Green with abundant spots,Pigmented below joint,Moderate,Pentagonal,Medium lilac,White,Acumen - both,No anthocyanins,No anthocyanins,Pink,White,At apex,Green,Conical,"The name Pana comes from the shape of the tuber, which resembles the shape of bread (pan), and Colorada from the reddish color of its yolks and skin. It is resistant to the roundworm (Premnotrypes sp.). When parboiled, its skin does not break and its texture is moderately floury. It is easily peeled because it has shallow eyes and is preferred to prepare the typical dish “potatoes with guinea pig”. It is also prepared fried.",,"Parboiled, peeled, fried, chuno",Slow
Pata de Vaca,0,Indirect/Body parts,Solanum tuberosum (Group: Andigenum),Common,Compressed,Medium,Pale yellow,Intense purple,Splattered spots,White,Absent,Absent,Semi-erect,Green with many spots,Curly,4 pairs,2 pairs,20.97 25.74,1.01 - 2.10,36 - 71,Intermediate,3300 - 3800,Intermediate,Resistant,,,Flower abortion,,,,,,,Purple,White,At apex,,,"The name of this variety comes from the size of its tubers that grow large, equal to the cow’s leg (pata de vaca). It is characterized by the abortion of flower buds or by very rarely showing flowering. It is used for the preparation of potatoes with guinea pig. When parboiled, its skin does not break, its texture is moderately floury and its flavor tasty. It is also prepared fried.",,"Parboiled, peeled, fry",Slow
Haragana,0,Indirect/State of being,Solanum tuberosum (Group: Andigenum),Common,Flattened oblong,Deep,"Red, pale purple",Absent,Absent,White,Absent,Absent,Semi-erect,Reddish,Jagged,3 pairs,1 pair,22.24 23.46,1.11 - 2.29,24 - 49,Intermediate,3600 - 3800,Susceptible,Resistant,Reddish,Fully pigmented,Moderate,Half-starred,Pale lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Red,White,At apex,Green with pigmented areas,Globose,"“This potato takes time to ripen, which is why it is called Haragana (lazy). It is also rooty (type of dispersed tuberization) so it is hilled up small and when it is harvested you have to look for the potatoes far from the plant because otherwise almost all of them will remain on the farm”, the community members refer. It is characterized by being resistant to pests and diseases. It is of short storage because it sprouts quickly. When parboiled, its skin does not break and its texture is watery. It is also prepared fried.",,"Parboiled, peeled, fry",Slow
Pelleja Colorada,0,Direct/Tuber Skin and Tuber Color,Solanum tuberosum (Group: Chaucha),Abundant,Compressed,Deep,"Red, medium purple",Absent,Absent,Light yellow,Absent,Absent,Semi-erect,Green with many spots,Jagged,3 pairs,2 pairs,27.62 30.16,1.29 - 1.95,34 - 58,Fast,3500 - 4100,Resistant,Intermediate,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Pale purple,White,Acumen - back,No anthocyanins,No anthocyanins,Pink,Absent,Absent,Green,Ovoid,"This variety belongs to the group known as pellejas (skins), a name that is due to the speed with which its skin breaks when boiling it, “as if it were skinned”, according to the community members, and Colorada due to the reddish color of the skin of the tuber. The texture is floury and if it is cooked for a long time it disintegrates. The ladies mention: “when preparing dry potatoes with this potato, it does not need to be ground in a fulling mill or mill, it is just rubbed with a ladle and thrown into the pot”.",,"Parboiled, chuno, dry potato, puree",Fast
Pelleja Negra,1,Direct/Tuber Skin and Tuber Color,Solanum tuberosum (Group: Chaucha),Abundant,Compressed,Deep,Pale yellow,"Red, medium purple",Splattered spots,Light yellow,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,28.06 31.16,1.43 - 1.54,29 - 30,Fast,3600 - 4100,Resistant,Intermediate,Pigmented with abundant green,Mostly pigmented and green articulation,Scarse,Rotated,Medium purple,White,Acumen - back,No anthocyanins,No anthocyanins,Red,Absent,Absent,,,"This is another variety that belongs to the Pellejas (skins). The name Pelleja Negra is due to the dark spots on the skin of the tuber, although they vary from pink to purple. It is a variety that produces faster than the other skins. The producers say “it is more advanced than the others”. It is an old variety, widely distributed in the community and cultivated for family consumption. Its texture is floury and its flavor is very tasty. By letting it cook for a long time it disintegrates.",Family consumption,"Parboiled, soup, chuno, dry potato",Fast
Panana Blanca,2,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Medium,Medium yellow,"Red, intense purple",Splattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,28.59 32.07,0.52 - 2.72,43 - 100,Intermediate,3700 - 4100,Resistant,Susceptible,Pigmented with little green,Fully pigmented,Moderate,Pentagonal,Intense violet,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,At apex,Green,Globose,"It is an old variety and known by several names. A resident affirms: “I already knew it with that name and I don’t know why it is called tha , but this potato is good for chuno” . The skin breaks when parboiled, its texture is mealy and its flavor is tasty.",,"Chuno, parboiled, dry potato",Fast
Perrito,4,Indirect/Animal,Solanum tuberosum (Group: Andigenum),Scarse,Elongated falcate,Superficial,"Red, medium purple",Absent,Absent,Cream,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,1 pair,24.85 31.48,0.82 - 2.13,28 - 29,Intermediate,3400 - 3800,Susceptible,Resistant,Pigmented with abundant green,Pigmented over joint,Moderate,Rotated,"Red, medium pink",White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Pink,White,At apex,Green with pigmented areas,Globose,"Its name varies between the annexes, they call it Perrito (puppy) because some of its tubers are rolled up giving the appearance of a sleeping puppy, also Culebrita (snake) or Víbora (viper) because of its elongated tubers, and Lombriz (worm) because of the reddish color of its tubercles. It is not very common in the community because it quickly breaks in its transport. It is prepared roasted and is used to wean children, giving them these potatoes instead of cookies. When parboiled, its texture is variable, depending on the growing environment, and its skin does not break.",,"Roast, parboiled",Slow
Perrita Blanca,1,Indirect/Animal and Color,Solanum tuberosum (Group: Andigenum),Abundant,Elongated fusiform,Medium,Pale yellow,"Red, medium purple",Scattered spots,Cream,Red,Few spots,Semi-erect,Reddish,Curly,5 pairs,2 pairs,25.22 29.87,0.79 - 1.71,48 - 87,Late,3500 - 4100,Resistant,Intermediate,Pigmented with abundant green,Fully pigmented,Moderate,Pentagonal,Medium purple,White,Acumen - both,Pigmented bands,Pigmentation on inner wall ovary,Red,Absent,Absent,Green with few white dots,Globose,"The name Perrita comes from the shape of the tuber that resembles a lying puppy, and Blanca from the predominant light color of the tuber. This variety is cultivated in small quantities and mixed for family consumption, very rarely for commercialization. When parboiled, its skin breaks, its texture is hard and it is eaten roasted on charcoal or as a dried potato in soup.",,"Roast, parboiled, chuno, dry potato",Intermediate
