Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Jesucristopa Cuerpon,2,Indirect/Divine Beings,Solanum tuberosum (Group Goniocalyx),Abundant ,Oblong-elongated ,Average,light brown,Red-purple,Scattered spots,White ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,4 pairs,2 pairs,0.54 kg,16,Intermediate,3800 - 4200 msnm,Susceptible,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light white,Purple,Bands on both sides    ,Pigmented lateral bands  ,Pigmented stigma  ,Red,White,in buds   ,"This variety is only planted in chaqru. It has a floury texture. It is more planted in chiwa because better yields are obtained; On the other hand, in fallow the tubers are very small, they become kunkallpo (tubers in the neck of the plant).",,"Parboiled, chuño, puree, chicken broth, pachamanca",Intermediate
Kallwa Shiri,3,Indirect/Object,Solanum juzepczukii  ,Infrequent,flattened oblong,Superficial,light brown,Purple,Few stains,White ,Absent,Absent   ,semi-roseate,Green with many spots,Wavy,6 pairs,1 pair,0.51 kg,11,Late,3900 - 4400 msnm,Resistant,Resistant,"Pigmented, with little green ",Fully pigmented     ,Scarce,Pentagonal ,deep purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Absent,Absent    ,"The leaves of this variety are used as an ingredient in morón soup because it provides a flavor similar to jerky. It is occasionally consumed in soup and stir-fries. In chuño it is floury, when eaten this way it causes heaviness almost immediately causing hiccups (Ñitisunki = hiccup): “it is a heavy potato in chuño because it is hard (shiri = hard).”",,"Chuño, soup, frying",Prolonged
Kichca Matanca,2,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,Light red-purple,Brown,Splattered stains,White ,Absent,Absent   ,Decumbent,Green   ,Straight,4 pairs,1 pair,0.33 kg,9,Intermediate,3800 - 4200 msnm,Tolerant,Resistant,"Green, with few spots ",Pigmented joint only    ,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Purple,Many stains throughout,It is a variety that is only planted in chaqru. Farmers say that it is an “ancient potato” that has been cultivated for many generations. The eyes on the tubercles are generally concentrated only on the distal part or head. It has a watery texture and when parboiled has a spicy flavor.,,"Parboiled, small tubers for chuño",Short
Killi Waranpa Uman,3,Indirect/Animal,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Average,Intermediate yellow,Red,Scattered spots,White ,Absent,Absent   ,Decumbent,Green   ,Straight,5 pairs,2 pairs,0.31 kg,22,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Pink,At base   ,This variety owes its name to the resemblance it has to a small yellow-breasted bird (Carduelis magellanica). It is planted in chaqru. It is a variety with a very pleasant flavor.,,"Parboiled, chuño, pachamanca, soup",Intermediate
Kuchi Pelo,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Infrequent,Compressed ,Superficial,Intense blackish,Yellow,Scattered spots,Violet ,White,splashed   ,Decumbent,"Green, with many spots",Straight,5 pairs,3 pairs,1.72 kg,36,Early,3700 - 4200 msnm,Tolerant,Tolerant,"Green, with few spots ",Fully pigmented     ,profuse,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Stigma and pigmented ovary,Violet,White,in buds   ,"It is a variety that was possibly introduced by NGOs due to its pigmented pulp. It has a watery texture, when consumed parboiled it has a spicy flavor. Some farmers call this variety “Alianza,” because of the colors that resemble the shirt of the Alianza Lima soccer club.","Introduced by NGOS, new name after the soccer club Alianza Lima","Parboiled, fried, chuño",Intermediate
Kuchipa Akan,4,Indirect/Body parts,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Average,Intense blackish,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Wavy,4 pairs,a couple,0.38 kg,14,Late,3800 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is a variety that is planted in chaqru. It is a variety highly appreciated for its floury flavor and texture, but it has a low yield. Farmers attribute healing properties to it. When it is made chuño, when you step on the frozen tuber the skin is hard and does not peel very well.",Health Benefits,"Parboiled, soup, chuño, pachamanca",Intermediate
Kuchipa Chupan,4,Indirect/Body parts,Solanum tuberosum (Group Goniocalyx),Very scarce,elongated falcate,Superficial,Intermediate blackish,Absent,Absent ,White ,Violet,Vascular ring and medulla,Semi-erect,"Pigmented, with abundant green",Straight,4 pairs,2 pairs,0.68 kg,20,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Very rotated,light purple,White,Acumen - underside    ,Pigmented lateral bands  ,Pigmented inner ovary wall,Violet,White,at apex   ,"It is a variety that is planted in a mixture (chaqru). Due to its falcate shape (similar to a sickle), it has to be moved very carefully to avoid breaking it. In recent years, its demand for processing into flakes has increased.",,"Parboiled, chuño, pachamanca",Short
Lagarto,1,Indirect/Animal,Solanum tuberosum (Group Andigenum),Scarce ,flattened oblong,Superficial,light brown,Purple,Splattered stains,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.37 kg,12,Intermediate,3900 - 4300 msnm,Susceptible,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,expensive purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented style  ,Violet,White,at apex   ,"It is a variety that is planted only in chaqru, it is usually used to prepare chuño, but when the agricultural season is bad and there is low production, this variety is consumed in soups and parboiled.",,"Chuño, soup, parboiled",Intermediate
Leona,1,No information,Solanum tuberosum (Group Andigenum),Scarce ,Round ,Superficial,Intense blackish,Brown,like glasses,Purple ,Cream,splashed   ,Semi-erect,Purple   ,Wavy,4 pairs,2 pairs,0.72 kg,40,Intermediate,3700 - 4200 msnm,Tolerant,Resistant,Purple    ,Fully pigmented     ,Moderate,Rotated ,deep purple,White,Acumen - both (beam and underside) ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,at apex   ,This variety is appreciated for its commercial value as it has pigments with antioxidant properties. Its taste is not very pleasant. Parboiled potatoes have a watery consistency. It comes from the genebank of Ecuador. Its introduction was promoted by INIA agricultural projects.,Introduced by the Government,"Parboiled, snacks",Intermediate
Llamapa Ñawin,1,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Very scarce,Compressed ,Average,Intermediate purple,Brown,like glasses,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Wavy,4 pairs,2 pairs,0.42 kg,13,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Apex pigmented spot  ,Without anthocyanins  ,Purple,Absent,Absent    ,The parboiled tuber of this variety has a rubbery texture. It is a variety that is only planted in chaqru. Its name is due to the resemblance between the color of the skin of the tuber and the eyes of the llama.,,"Parboiled, chuño, watya, soup",Short
Maco,2,Direct/Origin (Plantation),Solanum tuberosum (Group Andigenum),Abundant ,Flattened round,Superficial,light brown,Purple,on eyebrows,light yellow,Absent,Absent   ,Decumbent,Green   ,Straight,6 pairs,2 pairs,0.86 kg,27,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Pentagonal ,deep purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,Few stains throughout,"It is an improved variety that farmers have been growing for a long time; It is probably a hybrid from andigena. There is a thesis about this variety, written by the sociologist Cecilia Blondet, about the origin of this native potato from the “Maco” farm, in the heights of Tarma.",Hybrid variety,"Parboiled, soup, stew, chuño, dried potato",Intermediate
Manua,2,No information,Solanum tuberosum (Group Andigenum),Abundant ,Concertinate oblong,Deep,light purple,Brown,Splattered stains,Cream ,Purple,narrow vascular ring ,Semi-erect,"Green, with few spots",Straight,5 pairs,1 pair,0.45 kg,12,Intermediate,3800 - 4200 msnm,Tolerant,Tolerant,"Green, with few spots ",Pigmented joint only    ,Moderate,Very rotated,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,Few stains throughout,"Very rustic and productive variety under extreme conditions, excellent for chuño processing; It has a bitter taste. Its leaves are used to give charqui (dried meat) flavor to soups. To cure eye infections, a “hole” is made in the tuber and wait for the juice to accumulate and then apply it in drops to the eye. In the past, people washed their clothes with the tears that emanated from the tuber when they stepped on it to make chuño.",Health Benefits,"Chuño, stews, soups (leaves and tubers)",Intermediate
Maqtillo,0,Indirect/Person,Solanum tuberosum (Group Andigenum),Infrequent,Oblong ,Average,Medium brown,Red,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,3 pairs,2 pairs,0.78 kg,8,Intermediate,4100 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,Flourish variety very typical of Huancavelica. It is for exclusive use for home consumption and appreciated as a “gift potato”. It is only planted in chaqru.,Gift and Family consumption,"Parboiled, pachamanca, putqui, chuño",Short
Markina,0,Indirect/Human action,Solanum tuberosum (Group Andigenum),Scarce ,Round ,Average,Intense red-purple,Purple,Splattered stains,Cream ,Red,Wide vascular ring ,Decumbent,"Green, with few spots",Wavy,5 pairs,3 pairs,0.64 kg,5,Intermediate,3800 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Moderate,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,in buds   ,"It is only planted in chaqru. It is an old variety cultivated since the time of our grandparents. It has good commercial demand in the Huancavelica markets. In the Chopcca region, its tubers are used to prepare Easter Sunday cold cuts during the Holy Week celebration.",Festivities and Commercial,"Parboiled, chuño, soup, pachamanca",Intermediate
Mashwa Papa,3,Indirect/Crop,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated nailed,Average,intense orange,Absent,Absent ,deep yellow,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,3 pairs,2 pairs,0.6 kg,7,Early,3700 - 4200 msnm,Susceptible,Susceptible,Green    ,Green      ,Moderate,Pentagonal ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Purple,Few stains throughout,"It is only planted in chaqru. Currently, planting separately is being encouraged due to its commercial value, given its pleasant flavor. It is a scarce variety, but highly appreciated by native potato guardians. It is novel because of its resemblance to the mashua.",,"Parboiled, puree, baby food, chuño",Short
Mayu Cculluta,2,Indirect/Object and Origin (Plantation),Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Superficial,Intense blackish,Red-purple,Scattered spots,White ,Violet,Few stains  ,Decumbent,"Green, with few spots",Straight,6 pairs,3 pairs,1.1 kg,14,Intermediate,3900 - 4300 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,Intermediate purple,White,Acumen - underside    ,Apex pigmented spot  ,Pigmented inner ovary wall,Purple,White,in buds   ,Its name is due to the tuber's resemblance to the round stones of the river. It is customary to plant in chaqru. In some places it is known as papa Núñez because it was planted on the estate of the patron of that surname.,,"Parboiled, chuño, soup",Intermediate
Mishipa Makin,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Very scarce,Fingered obovate,Superficial,Intense blackish,Absent,Absent ,White ,Purple,Few stains  ,Decumbent,"Green, with many spots",Wavy,3 pairs,1 pair,0.79 kg,26,Intermediate,3800 - 4200 msnm,Tolerant,Tolerant,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,light violet,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is only planted in chaqru. It is a scarce variety, only native potato custodians have it. Its flavor is not very pleasant, it has an intermediate texture.",,"Parboiled, pachamanca",Short
Murau Llumchuy Waqachi,3,Indirect/Custom and Color,Solanum tuberosum (Group Chaucha),Scarce ,tuberosized oblong,very deep,Intense red-purple,Blackish,Scattered spots,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Straight,5 pairs,2 pairs,0.61 kg,23,Intermediate,3800 - 4300 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - both (beam and underside) ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,Absent,Absent    ,"It is planted in chaqru. The tubers of this variety were used to test daughters-in-law: if they were able to peel them completely, which was very difficult, they were ready to get married. That's why it was known as the potato that makes daughters-in-law cry. It is a disused custom.",,Parboiled,Intermediate
Muru Huayro,1,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Abundant ,round oblong,Average,light yellow,Red,Scattered spots,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,1 pair,0.31 kg,10,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,Many stains throughout,"It is a variety with commercial demand in local markets and outside the Huancavelica Region. It is also preferred by farmers for its good yield and culinary quality. It is common to find it under sowing in michka to “take it out as a gilt to the market.” Precisely, michka means first time sowing or small campaign. Belongs to the huayro group",Commercial,"Parboiled, soups, stews, chuño",Short
Muru Llumchuy Waqachi,2,Indirect/Custom,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,Deep,light brown,Purple,Splattered stains,White ,Absent,Absent   ,semi-erect decumbent,"Green, with few spots",Straight,4 pairs,2 pairs,0.85 kg,15,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,Few stains throughout,"It is an old variety, which dates back several generations, it belongs to the llumchuy waqachi group. It is a potato with a semi-floury texture, susceptible to rot and transfer.",,Parboiled soup,Intermediate
Muru Ultu,1,Indirect/Animal,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated ,Superficial,light brown,Purple,Splattered stains,Cream ,Purple,Few stains  ,Decumbent,"Pigmented, with little green",Wavy,4 pairs,4 pairs,0.68 kg,13,Intermediate,3800 - 4000 msnm,Tolerant,Tolerant,"Pigmented, with little green ",Fully pigmented     ,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is planted in chaqru. It has a floury texture. The skin color of the tubers resembles two-color tadpoles, as if they were painted",,"Parboiled, stews, chuño",Intermediate
Muru Walash,2,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Very scarce,Oblong-elongated ,Superficial,Intermediate yellow,Purple,Scattered spots,Cream ,Red,Few stains  ,Decumbent,Green   ,Straight,5 pairs,2 pairs,0.78 kg,15,Intermediate,4000 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,Few stains throughout,"It is a frost-tolerant variety. Its tubers are mealy. Farmers say that when the harvest begins and the potatoes are left in piles in the fields, at night they organize the pampa ticray party and the walash wins the competition over all the other potatoes because they are the most beautiful. The festival is called walash, which derives from waylas (fighting side by side).",Festivities,"Parboiled, soup, stew, pachamanca",Intermediate
Muru Wali,1,Indirect/Object,Solanum tuberosum (Group Andigenum),Very scarce,Round ,Average,light yellow,Red-purple,Scattered spots,Cream ,Absent,Absent   ,Semi-erect,"Pigmented, with little green",Straight,5 pairs,2 pairs,0.45 kg,9,Intermediate,4200 - 4400 msnm,Tolerant,Tolerant,"Pigmented, with abundant green ",Fully pigmented     ,Scarce,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a low-yielding variety, the tuber has a little floury texture and good flavor. It is only planted in chaqru",,"Parboiled, chuño, soup",Intermediate
Murunquis,1,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Scarce ,Round ,Average,Medium brown,Purple,Scattered spots,Yellow ,Purple,Areas   ,Semi-erect,"Green, with few spots",Wavy,4 pairs,3 pairs,1.00 kg,15,Intermediate,4000 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,in buds   ,The tubers of this variety are brown with spots similar to the head of an eagle. It is grown only in chaqru.,,"Pachamanca, soup, parboiled, chuño",Intermediate
Occe Capiro,2,Not clear,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Superficial,Intense red-purple,Pink,on eyebrows,Cream ,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,5 pairs,2 pairs,0.32 kg,12,Intermediate,3800 - 4300 msnm,Tolerant,Tolerant,"Green, with few spots ",Pigmented under joint    ,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,Many stains throughout,It is a variety that according to farmers has medicinal properties to counteract stomach ailments. It is only found in chaqru of the custodians and some farmers. Mostly used in soups and stews due to its slightly floury texture.,Health Benefits,"Parboiled, soup, stew, dried potato, chuño",Intermediate
Occe Wayru,2,Not clear,Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Deep,Intense red-purple,Brown,Splattered stains,Cream ,Violet,narrow vascular ring ,Decumbent,"Green, with many spots",Straight,5 pairs,3 pairs,0.59 kg,24,Intermediate,3800 - 4400 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Purple,Absent,Absent    ,"It is not very common, it is only planted in chaqru. Its flavor when consumed parboiled is not very pleasant, it has a watery texture.",,"Parboiled, chuño, soup, pachamanca",Intermediate
Papa Barbara,2,Indirect/Person,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,Intermediate red-purple,Pink,Splattered stains,White ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Straight,5 pairs,1 pair,0.80 kg,16,Intermediate,3600 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Scarce,Rotated ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,at apex   ,"It is a variety that is planted in chaqru and as it ages it has a sweet flavor due to the transformation of its carbohydrates into sugars; In addition, it has an elastic consistency (Ancu ancucha).",,"Parboiled, chuño",Prolonged
Papa Sari,2,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Very scarce,Compressed ,Average,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Absent,4 pairs,3 pairs,0.53 kg,23,Intermediate,4000 - 4200 msnm,Tolerant,Resistant,"Pigmented, with a lot of green ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,Clear,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"It is a variety with a low floury texture, so it is consumed in soups and stews, it is mostly planted in chaqru, its name comes from its deep eyes.",,"Soup, parboiled, chuño",Intermediate-Extended
Paqchinita,2,Indirect/Person and Origin (Plantation),Solanum tuberosum (Group Goniocalyx),Scarce ,Compressed ,Average,Light red-purple,Brown,Splattered stains,Yellow ,Absent,Absent   ,Decumbent,"Green, with few spots",Absent,3 pairs,2 pairs,0.83 kg,15,Intermediate,3200 - 4000 msnm,Tolerant,Resistant,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,Few stains throughout,"It is a variety native to the old Paccho Molinos hacienda. That's why it is called Pacchinita; This potato is floury, it is only planted in chaqru. Currently it is planted by some custodians.",,"Parboiled, chuño, soup",Intermediate
Peruanita,1,Western Name,Solanum tuberosum (Group Goniocalyx),Abundant ,Round ,Average,deep yellow,Red,Scattered spots,Yellow ,Absent,Absent   ,Decumbent,Green   ,Straight,6 pairs,3 pairs,0.4 kg,14,Early,3800 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Moderate,Very rotated,Intense red-purple,Absent,Absent      ,Pigmented bands   ,Without anthocyanins  ,White,Red,Many stains throughout,"It is a variety with commercial demand. It is rarely grown in mixtures with other varieties. The combination of the colors of the skin of the tuber resembles the flag of Peru, hence the name peruanita or flagerita. Some farmers take it to the low areas to barter with corn and fruit trees. It is a variety that is not very resistant to diseases such as ranch, and susceptible to excess humidity.",Commercial,"Parboiled, mashed, huancaína potato, pachamanca, rarely chuño",Short
Peruano,1,Western Name,Solanum tuberosum (Group Chaucha),Scarce ,Flattened round,Average,light brown,Red-purple,Scattered spots,Cream ,Absent,Absent   ,Semi-erect,"Pigmented, with little green",Straight,5 pairs,1 pair,0.6 kg,16,Intermediate,3400 - 3900 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,Absent,Absent      ,Apex pigmented spot  ,Without anthocyanins  ,Red,White,in buds   ,The tubers of this variety are mealy. It is a variety that is planted in chaqru.,,"Parboiled, soup, puree, stew",Intermediate
Puchuru,2,Indirect/Food,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,deep red,Brown,Scattered spots,Cream ,Red,Vascular ring and medulla,Decumbent,Green   ,Straight,4 pairs,1 pair,0.49 kg,21,Intermediate,3800 - 4100 msnm,Tolerant,Resistant,"Green, with few spots ",Pigmented under joint    ,Moderate,Pentagonal ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,Many stains throughout,When this variety is exposed to the sun its flavor changes: it becomes bitter. It has good performance; If consumed parboiled it produces stomach heaviness (ñitirusunki). It is mostly consumed in soups and stews.,,"Parboiled, chuño, soup",Intermediate
Puka Allqa Palta,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Abundant ,Flattened round,Average,Intermediate red-purple,Brown,Scattered spots,light yellow,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,1 pair,1.85 kg,39,Intermediate,3800 - 4300 msnm,Tolerant,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"This variety can only be found in chaqru. When parboiled, it acquires a rubbery consistency, which is why, in the past, children made gum with this variety to make their kites or glue papers, which got them out of trouble as they did not have synthetic glue. Nowadays they may still use it out of necessity, but it is no longer very common.",,"Stews, parboiled, soups, chuño",Intermediate
Puka Angelpa Tantan,3,Indirect/Divine Beings,Solanum tuberosum (Group Chaucha),Infrequent,Round ,Deep,deep yellow,Red-purple,Scattered spots,Yellow ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,3 pairs,0.60 kg,12,Intermediate,3800 - 4300 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,Absent,Absent      ,Pigmented bands   ,Pigmented inner ovary wall,Red,White,Few stains throughout,"It is planted only in chaqru. When consumed parboiled, it has a floury texture. The landowners planted this potato in Troy – Acoria; When the harvest came, those who worked in the fields of the hacienda did not harvest it, they buried it on purpose to take it out another day while they grazed cattle and keep it for themselves.",,"Parboiled, chuño, soup, puree, chicken broth",Intermediate
Puka Aqu Suytu,7,Direct/Tuber Color and Shape,Solanum tuberosum (Group chaucha),Common ,Oblong-elongated ,Average,light brown,Red,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,3 pairs,0.79 kg,15,Intermediate,3800 - 4400 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,Few stains throughout,It is an old variety known commercially as long. It has a floury texture and good flavor. This variety is in high demand in barter. People from the lower area (ravine) really like it. Does not tolerate wet soils.,Barter,"Parboiled, chuño",Intermediate
Puka Butijuela,2,Indirect/Object,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Outstanding,Intermediate red-purple,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,6 pairs,3 pairs,0.62 kg,12,Intermediate,4000 - 4200 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Very rotated,Intense red-purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is planted in chaqru. This variety is very mealy. In addition, it is one of the oldest and, due to its shape and pleasant flavor, it continues to be highly preferred among women to this day.",,"Parboiled, chuño, soup, puree",Intermediate
Puka Cucharcas,2,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Abundant ,Compressed ,Deep,Intermediate red-purple,Brown,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,4 pairs,2 pairs,0.38 kg,12,Intermediate,4000 - 4200 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,at apex   ,This variety produces small tubers. It is believed to have medicinal properties to counteract kidney problems. It is only found in chaqru in the farm of the custodians and some farmers.,,"Parboiled, chuño, huancaína potato, puree, soup",Short
Puka Dusis,2,Not clear,Solanum tuberosum (Group Goniocalyx),Abundant ,Oblong ,Average,Intense red-purple,Absent,Absent ,White ,Purple,Vascular ring and medulla,Decumbent,"Green, with few spots",Straight,4 pairs,3 pairs,0.68 kg,22,Late,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Red-purple ,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,Absent,Absent    ,"It is a variation of dusis. There is no consensus regarding the meaning and origin of the name dusis; For some, it comes from twelve, since the tuber tends to have twelve eyes; Likewise, in Quechua lunch is known as dusis. The tubers are highly appreciated for eating parboiled. According to some residents, this potato was commonly eaten as a midday snack along with some other varieties.",,"Parboiled, chuño",Short
